MCS Area Volume r h theta_rad theta_deg
201 2484 9868 28.1191 7.74908 0.537813 30.8144
202 2502 9855 28.2208 7.68754 0.531909 30.4761
203 2493 9851 28.17 7.71038 0.534332 30.615
204 2481 9830 28.1021 7.72932 0.536815 30.7572
205 2496 9818 28.1869 7.67715 0.531831 30.4717
206 2484 9805 28.1191 7.70192 0.534694 30.6357
207 2475 9793 28.0681 7.71894 0.536747 30.7533
208 2475 9785 28.0681 7.71293 0.536349 30.7305
209 2490 9821 28.153 7.69661 0.533728 30.5804
210 2499 9815 28.2038 7.66633 0.530812 30.4133
211 2484 9830 28.1191 7.72064 0.535932 30.7066
212 2493 9821 28.17 7.68799 0.532852 30.5302
213 2472 9831 28.0511 7.75622 0.539527 30.9126
214 2457 9823 27.9658 7.79413 0.543609 31.1465
215 2463 9811 28 7.76746 0.54121 31.0091
216 2469 9810 28.034 7.74917 0.539372 30.9037
217 2472 9813 28.0511 7.74269 0.538631 30.8613
218 2493 9816 28.17 7.68425 0.532606 30.5161
219 2499 9831 28.2038 7.67825 0.5316 30.4584
220 2514 9821 28.2884 7.62815 0.526784 30.1825
221 2502 9816 28.2208 7.65852 0.529993 30.3664
222 2484 9800 28.1191 7.69817 0.534446 30.6215
223 2475 9797 28.0681 7.72195 0.536946 30.7647
224 2481 9791 28.1021 7.70008 0.53488 30.6464
225 2508 9804 28.2546 7.63253 0.527674 30.2335
226 2508 9797 28.2546 7.62732 0.527331 30.2138
227 2505 9789 28.2377 7.62988 0.527801 30.2408
228 2505 9805 28.2377 7.64179 0.528586 30.2858
229 2502 9800 28.2208 7.6466 0.529206 30.3213
230 2514 9787 28.2884 7.60293 0.525122 30.0873
231 2499 9778 28.2038 7.63875 0.528991 30.3089
232 2511 9763 28.2715 7.59358 0.524804 30.069
233 2508 9774 28.2546 7.61023 0.526202 30.1492
234 2535 9774 28.4063 7.53455 0.518545 29.7104
235 2526 9793 28.3558 7.57366 0.522003 29.9085
236 2523 9787 28.3389 7.57763 0.52256 29.9405
237 2526 9793 28.3558 7.57366 0.522003 29.9085
238 2517 9784 28.3052 7.59226 0.524119 30.0298
239 2514 9799 28.2884 7.61184 0.525709 30.1209
240 2508 9814 28.2546 7.63996 0.528164 30.2616
241 2511 9795 28.2715 7.61734 0.526372 30.1589
242 2520 9810 28.3221 7.60307 0.524534 30.0536
243 2526 9822 28.3558 7.59509 0.523413 29.9894
244 2517 9819 28.3052 7.61819 0.525828 30.1278
245 2538 9829 28.4231 7.56671 0.520366 29.8148
246 2553 9822 28.5069 7.52004 0.515842 29.5556
247 2553 9830 28.5069 7.5259 0.516227 29.5776
248 2547 9825 28.4734 7.5388 0.517655 29.6594
249 2565 9852 28.5738 7.50901 0.513965 29.448
250 2568 9853 28.5906 7.50154 0.513189 29.4035
251 2556 9841 28.5237 7.52569 0.515923 29.5602
252 2571 9841 28.6072 7.48461 0.511795 29.3237
253 2589 9859 28.7072 7.44889 0.507758 29.0924
254 2568 9864 28.5906 7.50955 0.513713 29.4336
255 2589 9880 28.7072 7.46409 0.50875 29.1492
256 2589 9891 28.7072 7.47205 0.509269 29.179
257 2598 9872 28.7571 7.43409 0.50595 28.9888
258 2598 9870 28.7571 7.43264 0.505856 28.9834
259 2589 9846 28.7072 7.43948 0.507144 29.0572
260 2580 9844 28.6573 7.46234 0.509484 29.1913
261 2583 9825 28.6739 7.44044 0.50777 29.0931
262 2583 9840 28.6739 7.45132 0.508481 29.1338
263 2604 9816 28.7903 7.37768 0.501716 28.7462
264 2577 9814 28.6406 7.44867 0.508874 29.1563
265 2577 9821 28.6406 7.45376 0.509207 29.1754
266 2577 9826 28.6406 7.45739 0.509445 29.189
267 2580 9833 28.6573 7.45435 0.508962 29.1614
268 2589 9852 28.7072 7.44383 0.507427 29.0735
269 2598 9850 28.7571 7.41821 0.504915 28.9295
270 2616 9866 28.8565 7.38179 0.500879 28.6983
271 2643 9883 29.0051 7.32303 0.494612 28.3392
272 2646 9880 29.0215 7.31309 0.493699 28.2868
273 2649 9857 29.038 7.28896 0.491868 28.1819
274 2646 9887 29.0215 7.31806 0.494021 28.3053
275 2652 9884 29.0544 7.30036 0.492338 28.2089
276 2643 9862 29.0051 7.30808 0.493643 28.2837
277 2637 9844 28.9721 7.31088 0.494364 28.3249
278 2649 9838 29.038 7.27547 0.490993 28.1318
279 2640 9835 28.9886 7.29666 0.493171 28.2566
280 2646 9833 29.0215 7.27967 0.491533 28.1628
281 2664 9859 29.1201 7.25174 0.48813 27.9678
282 2676 9877 29.1856 7.23378 0.485917 27.841
283 2661 9838 29.1037 7.24458 0.48793 27.9563
284 2688 9838 29.2509 7.17598 0.481147 27.5677
285 2688 9830 29.2509 7.17037 0.480785 27.547
286 2697 9824 29.2999 7.14359 0.478288 27.4039
287 2685 9816 29.2346 7.16809 0.480896 27.5533
288 2685 9838 29.2346 7.18354 0.481894 27.6105
289 2694 9828 29.2836 7.1539 0.479209 27.4566
290 2682 9833 29.2183 7.1876 0.482415 27.6403
291 2667 9839 29.1364 7.22994 0.486456 27.8719
292 2664 9833 29.1201 7.23336 0.486941 27.8996
293 2652 9846 29.0544 7.2734 0.490592 28.1089
294 2661 9828 29.1037 7.2375 0.487472 27.9301
295 2646 9804 29.0215 7.25905 0.490195 28.0861
296 2646 9804 29.0215 7.25905 0.490195 28.0861
297 2634 9800 28.9556 7.2873 0.493102 28.2527
298 2634 9787 28.9556 7.27802 0.492499 28.2181
299 2649 9805 29.038 7.25202 0.489473 28.0447
300 2667 9799 29.1364 7.20167 0.484628 27.7671
301 2667 9796 29.1364 7.19955 0.484491 27.7593
302 2658 9777 29.0872 7.20905 0.485894 27.8397
303 2643 9769 29.0051 7.24188 0.489348 28.0376
304 2667 9767 29.1364 7.17905 0.483164 27.6833
305 2703 9787 29.3324 7.10276 0.475148 27.224
306 2697 9795 29.2999 7.12328 0.47698 27.3289
307 2676 9778 29.1856 7.16404 0.481412 27.5829
308 2682 9767 29.2183 7.14118 0.479417 27.4686
309 2670 9773 29.1528 7.17569 0.482685 27.6558
310 2670 9763 29.1528 7.16862 0.482229 27.6297
311 2679 9760 29.2019 7.14379 0.479845 27.4931
312 2688 9747 29.2509 7.11208 0.477024 27.3315
313 2682 9727 29.2183 7.11302 0.477598 27.3644
314 2691 9727 29.2672 7.09056 0.475379 27.2372
315 2718 9736 29.4137 7.03022 0.469221 26.8844
316 2742 9758 29.5433 6.98716 0.464477 26.6126
317 2763 9789 29.6562 6.9581 0.460914 26.4084
318 2760 9801 29.6401 6.97351 0.462141 26.4787
319 2766 9818 29.6723 6.97082 0.461485 26.4412
320 2769 9825 29.6884 6.96845 0.461093 26.4187
321 2766 9823 29.6723 6.97424 0.461704 26.4537
322 2775 9823 29.7205 6.9528 0.459613 26.3339
323 2754 9801 29.6079 6.9879 0.463547 26.5593
324 2757 9807 29.624 6.98482 0.463107 26.5341
325 2772 9809 29.7045 6.95036 0.459697 26.3387
326 2772 9816 29.7045 6.95515 0.460003 26.3562
327 2757 9795 29.624 6.97657 0.462579 26.5038
328 2757 9768 29.624 6.95801 0.461392 26.4358
329 2754 9768 29.6079 6.96519 0.462094 26.476
