MCS Area Volume r h theta_rad theta_deg
491 6774 38523 46.4352 11.159 0.471681 27.0253
492 6789 38524 46.4866 11.1359 0.470242 26.9429
493 6807 38547 46.5482 11.1145 0.46877 26.8585
494 6813 38548 46.5687 11.1055 0.468206 26.8262
495 6819 38549 46.5892 11.0965 0.467643 26.794
496 6813 38504 46.5687 11.0933 0.467709 26.7977
497 6804 38493 46.5379 11.1041 0.468447 26.84
498 6813 38505 46.5687 11.0935 0.46772 26.7984
499 6825 38502 46.6097 11.0743 0.46654 26.7308
500 6807 38472 46.5482 11.0936 0.467922 26.81
501 6822 38484 46.5995 11.0739 0.466623 26.7356
