MCS Area Volume r h theta_rad theta_deg
451 6243 33281 44.5781 10.4694 0.461348 26.4333
452 6225 33281 44.5138 10.4981 0.463212 26.5401
453 6246 33273 44.5888 10.4622 0.460936 26.4097
454 6231 33268 44.5353 10.4845 0.462421 26.4948
455 6231 33254 44.5353 10.4803 0.46224 26.4844
456 6231 33256 44.5353 10.4809 0.462266 26.4859
457 6234 33221 44.546 10.4655 0.461503 26.4422
458 6213 33209 44.4709 10.4953 0.463527 26.5581
459 6222 33206 44.5031 10.48 0.462552 26.5023
460 6219 33193 44.4923 10.4808 0.462695 26.5105
461 6216 33163 44.4816 10.4765 0.462617 26.506
462 6192 33143 44.3957 10.5088 0.464861 26.6346
463 6195 33179 44.4064 10.515 0.465016 26.6435
464 6189 33217 44.3849 10.5363 0.466141 26.7079
465 6189 33216 44.3849 10.536 0.466128 26.7072
466 6180 33211 44.3526 10.549 0.46701 26.7577
467 6183 33225 44.3634 10.5484 0.466877 26.7501
468 6207 33221 44.4494 10.5086 0.464308 26.6029
469 6219 33232 44.4923 10.4927 0.463201 26.5394
470 6240 33251 44.5674 10.465 0.461271 26.4289
471 6228 33271 44.5245 10.4902 0.462771 26.5148
472 6246 33254 44.5888 10.4564 0.46069 26.3956
473 6231 33209 44.5353 10.4666 0.461658 26.451
474 6231 33213 44.5353 10.4678 0.46171 26.454
475 6231 33213 44.5353 10.4678 0.46171 26.454
476 6219 33234 44.4923 10.4933 0.463227 26.5409
477 6219 33244 44.4923 10.4964 0.463356 26.5484
478 6198 33271 44.4172 10.5383 0.4659 26.6941
479 6219 33241 44.4923 10.4955 0.463318 26.5461
480 6204 33217 44.4387 10.5122 0.464569 26.6179
481 6225 33225 44.5138 10.481 0.462487 26.4985
482 6225 33229 44.5138 10.4822 0.462539 26.5015
483 6225 33265 44.5138 10.4932 0.463005 26.5282
484 6237 33304 44.5567 10.4859 0.462266 26.4859
485 6231 33302 44.5353 10.4949 0.462861 26.52
486 6252 33297 44.6102 10.4599 0.460627 26.392
487 6261 33322 44.6423 10.4533 0.460023 26.3574
488 6282 33316 44.7171 10.4183 0.457798 26.2299
489 6297 33320 44.7705 10.396 0.456325 26.1455
490 6306 33284 44.8025 10.3711 0.454955 26.067
491 6300 33287 44.7812 10.3813 0.455599 26.1039
492 6336 33265 44.9089 10.3187 0.4517 25.8805
493 6318 33291 44.8451 10.3545 0.453834 26.0028
494 6336 33278 44.9089 10.3226 0.451865 25.8899
495 6336 33270 44.9089 10.3202 0.451763 25.8841
496 6348 33264 44.9514 10.2999 0.450491 25.8112
497 6351 33238 44.9621 10.2875 0.449864 25.7753
498 6354 33255 44.9727 10.288 0.449781 25.7706
499 6360 33286 44.9939 10.288 0.449578 25.7589
500 6348 33282 44.9514 10.3053 0.450719 25.8243
501 6357 33303 44.9833 10.2977 0.45009 25.7883
502 6342 33323 44.9302 10.3268 0.451836 25.8883
