MCS Volumen AContact r h theta
196 45805.0 7605.0 49.20108417939312 11.818701790401972 27.014459904609414
197 45798.0 7620.0 49.24958205630262 11.79496365465218 26.936600223896498
198 45800.0 7626.0 49.2689678401891 11.786682393486034 26.9081699324746
199 45800.0 7665.0 49.39478998435722 11.729927148258273 26.717504117650577
200 45795.0 7671.0 49.4141188013695 11.720007284771292 26.685649674860386
201 45805.0 7692.0 49.48171020211122 11.692168547977317 26.589445539360003
202 45818.0 7722.0 49.578109495131336 11.652320148358115 26.4523099792183
203 45810.0 7746.0 49.655094183574384 11.616137636152105 26.333582032235796
204 45832.0 7776.0 49.75115752387231 11.578998884564834 26.203368909101115
205 45829.0 7791.0 49.79911970364449 11.557116524694798 26.131226479266815
206 45822.0 7806.0 49.84703573484255 11.534336997193913 26.05726751525782
207 45831.0 7827.0 49.914040901939906 11.507138823988688 25.96419629586859
208 45809.0 7830.0 49.923605727341865 11.497616052502925 25.938634142323863
209 45821.0 7836.0 49.94272988269848 11.492163972059927 25.9171570788532
210 45827.0 7863.0 50.02869811481352 11.4561240433467 25.795696410472335
211 45818.0 7872.0 50.057321382978536 11.441504505244607 25.74963555242711
212 45812.0 7875.0 50.06685883593409 11.435913848117663 25.732732852695545
213 45809.0 7896.0 50.1335702030806 11.406277405265012 25.635229879539743
214 45796.0 7911.0 50.181166881609755 11.382585021663603 25.5602668160424
215 45799.0 7926.0 50.22871845759879 11.362813984245115 25.493956512786223
216 45812.0 7917.0 50.20019291713002 11.378224613489582 25.541430427406738
217 45797.0 7929.0 50.238223371764214 11.358243988547253 25.479373801320698
218 45808.0 7953.0 50.31419804408779 11.328258221912922 25.377162778303276
219 45805.0 7980.0 50.39953265404997 11.291051222392502 25.255042323743446
220 45807.0 7983.0 50.40900536020524 11.287487847776017 25.242735106441867
221 45817.0 7998.0 50.4563422148094 11.269707559350257 25.181351508547245
222 45800.0 8004.0 50.47526452644959 11.257613855136412 25.146058874353482
223 45798.0 8028.0 50.550882942669475 11.225069896432403 25.039340410427368
224 45794.0 8049.0 50.61695638709751 11.196205453160363 24.945393029934337
225 45801.0 8073.0 50.69236344028302 11.166118488846351 24.84458734077058
226 45807.0 8085.0 50.73002493391805 11.151726015917989 24.795704916581492
227 45817.0 8100.0 50.77706251929806 11.134379204348685 24.73609574893496
228 45815.0 8139.0 50.8991568068654 11.08298280081255 24.56812987359881
229 45812.0 8139.0 50.8991568068654 11.082278977366643 24.566617046489288
230 45813.0 8145.0 50.917914558306244 11.074718683400155 24.541596007255514
231 45811.0 8148.0 50.92729084317687 11.070356390374387 24.52784193667293
232 45812.0 8178.0 51.02095892092817 11.031799586409111 24.40145434590769
233 45814.0 8184.0 51.039671908508026 11.024539464875321 24.37720276538704
234 45798.0 8190.0 51.05837803774465 11.013088961439104 24.343983590027044
235 45815.0 8205.0 51.1051134050009 10.997807825768621 24.289638203511075
236 45822.0 8232.0 51.18912954002017 10.964949175579287 24.18063168679467
237 45816.0 8217.0 51.14247094902834 10.982688380320583 24.240039965067535
238 45817.0 8241.0 51.217104291834175 10.952338243316674 24.140832385432077
239 45832.0 8247.0 51.235745640692315 10.94819686361878 24.12344873296979
240 45852.0 8238.0 51.20778107262672 10.96427718129216 24.170645459041385
241 45812.0 8247.0 51.235745640692315 10.943558322647009 24.113527209490353
242 45824.0 8265.0 51.291629037388056 10.923538303993952 24.04523942860953
243 45822.0 8295.0 51.384632974212664 10.885272854087738 23.921324108306667
244 45824.0 8304.0 51.41250134811764 10.874441962462742 23.885624728855802
245 45817.0 8325.0 51.477468881832735 10.846569866942131 23.796942938307055
246 45829.0 8319.0 51.458915098969534 10.856821899793758 23.827136123614842
247 45840.0 8331.0 51.49601597985188 10.844376963242542 23.78394375956415
248 45842.0 8364.0 51.597905849377504 10.803852290681819 23.652105426091392
249 45834.0 8382.0 51.65339742933211 10.779792824675242 23.57626744959916
250 45810.0 8382.0 51.65339742933211 10.774305153398721 23.564601063859183
251 45819.0 8382.0 51.65339742933211 10.776363057447192 23.56897607467155
252 45816.0 8406.0 51.727293600776605 10.746187644613803 23.47217122053628
253 45813.0 8421.0 51.77342514798206 10.727152013471258 23.411441346309225
254 45822.0 8430.0 51.80108435669427 10.71821759046977 23.380333299783626
255 45858.0 8466.0 51.911573819640374 10.682656053729918 23.256635143237663
256 45854.0 8493.0 51.994286833833335 10.649162432070318 23.14980693221473
257 45834.0 8508.0 52.04018170271594 10.62662765080451 23.082310226049433
258 45845.0 8511.0 52.04935582031965 10.625513260294442 23.075995644812345
259 45844.0 8514.0 52.05852832119627 10.621693414927174 23.0639666463517
260 45845.0 8544.0 52.150164597576364 10.586103673769047 22.949424620594446
261 45832.0 8565.0 52.21421430189453 10.55825437986536 22.863306373377974
262 45824.0 8598.0 52.31470540305309 10.517522527113591 22.73480020522392
263 45835.0 8601.0 52.323831387492866 10.516455020104502 22.72869105455436
264 45836.0 8613.0 52.3603194193942 10.502593679832028 22.684102970572873
265 45851.0 8640.0 52.44232466841979 10.47437408534386 22.5902577760808
266 45844.0 8649.0 52.46963126994133 10.462335161315202 22.55351720356453
267 45834.0 8661.0 52.50601798115918 10.446170970044152 22.5043554111303
268 45828.0 8664.0 52.51511071964299 10.441359140751393 22.490458007758637
